Location,Survey #,Camera #,SD Card,Animal Sighted,Animal Count
Middle Provo River,14,4,,Common Goldeneye,1
Middle Provo River,15,4,,Mallard Duck,1
Middle Provo River,15,4,,Otter,1
Middle Provo River,15,3,,Osprey,1
Middle Provo River,15,3,,Killdeer,1
Middle Provo River,15,3,,Owl,1
Middle Provo River,15,3,,Yellow Headed Blackbird,1
Middle Provo River,15,3,,Wood Duck,1
Middle Provo River,17,3,,Elk,1
Middle Provo River,17,3,,Sandhill Crane,1
Middle Provo River,17,3,,Osprey,1
Middle Provo River,17,3,,Otter,1
Middle Provo River,17,3,,Mouse,1
Middle Provo River,17,3,,Bobcat,1
Middle Provo River,17,4,,Unknown Bird,1
Middle Provo River,17,4,,Osprey,1
Middle Provo River,17,4,,Muskrat,1
Middle Provo River,17,4,,Unidentified bird,1
Middle Provo River,17,4,,Wilson's Snipe,1
Middle Provo River,17,4,,Fox,1
Middle Provo River,17,4,,Dark-eyed Junco,1
Middle Provo River,17,4,,Swallow,1
Middle Provo River,17,4,,Mountain Lion,1
Middle Provo River,18,3,,Otter,1
Middle Provo River,18,3,,Killdeer,1
Middle Provo River,18,3,,Unknown Bird,1
Middle Provo River,18,3,,Muskrat,1
Middle Provo River,18,3,,Unidentified Duck,1
Middle Provo River,18,3,,Dark-eyed Junco,1
Middle Provo River,18,3,,Swallow,1
Middle Provo River,18,3,,Mountain Lion,1
Middle Provo River,18,4,,Elk,1
Middle Provo River,18,4,,Osprey,1
Middle Provo River,18,4,,Killdeer,1
Middle Provo River,18,4,,Yellow Headed Blackbird,1
Middle Provo River,19,,A,Eagle,1
Middle Provo River,19,,A,Sandhill Crane,1
Middle Provo River,19,,A,Beaver,1
Middle Provo River,19,,A,Yellow Headed Blackbird,1
Middle Provo River,19,,A,Black Bear,1
Middle Provo River,19,,A,Bat,1
Middle Provo River,19,,A,Unidentified Dove,1
Middle Provo River,20,1,,Eagle,1
Middle Provo River,20,1,,Sandhill Crane,1
Middle Provo River,20,1,,Beaver,1
Middle Provo River,20,1,,Killdeer,1
Middle Provo River,20,1,,Yellow Headed Blackbird,1
Middle Provo River,20,1,,Magpie,1
Middle Provo River,20,1,,Bullock's Oriole,1
Middle Provo River,20,1,,Moth,1
Middle Provo River,20,1,,Great Blue Heron,1
Middle Provo River,20,1,,Red-Winged Blackbird,1
Middle Provo River,20,1,,Unknown Bird,1
Middle Provo River,20,2,,Killdeer,1
Middle Provo River,20,2,,Finch,1
Middle Provo River,20,2,,Domestic Cat,1
Middle Provo River,21,1 or 2,,Eagle,1
Middle Provo River,21,1 or 2,,Elk,1
Middle Provo River,21,1 or 2,,Beaver,1
Middle Provo River,21,1 or 2,,Killdeer,1
Middle Provo River,21,1 or 2,,Unknown Bird,1
Middle Provo River,21,1 or 2,,Yellow Headed Blackbird,1
Middle Provo River,21,1 or 2,,Magpie,1
Middle Provo River,21,1 or 2,,Bullock's Oriole,1
Middle Provo River,21,1 or 2,,American Dipper,1
Middle Provo River,21,1 or 2,,Gadwall Ducks,1
Middle Provo River,23,1,,Beaver,1
Middle Provo River,23,2,,Sandhill Crane,1
Middle Provo River,23,2,,Yellow Headed Blackbird,1
Middle Provo River,23,2,,Moth,1
Middle Provo River,24,1,,Beaver,1
Middle Provo River,24,1,,Yellow Headed Blackbird,1
Middle Provo River,24,2,,Killdeer,1
Middle Provo River,24,2,,House Cat,1
Middle Provo River,25,,,Sandhill Crane,1
Middle Provo River,25,,,Beaver,1
Middle Provo River,26,1,,Beaver,1
Middle Provo River,26,1,,Cat,1
Middle Provo River,26,2,,Elk,1
Middle Provo River,27,,,Mallard Duck,2
Middle Provo River,27,,,Sandhill Crane,1
Middle Provo River,27,,,Beaver,1
Middle Provo River,27,,,Raccoon,1
Middle Provo River,27,,,American Wigeon,1
Middle Provo River,28,1 or 2,,Yellow Headed Blackbird,1
Middle Provo River,29,1,,Eagle,1
Middle Provo River,29,1,,Sandhill Crane,1
Middle Provo River,29,1,,Beaver,1
Middle Provo River,29,1,,Killdeer,1
Middle Provo River,29,1,,Yellow Headed Blackbird,1
Middle Provo River,29,2,,Eagle,1
Middle Provo River,29,2,,Killdeer,1
Middle Provo River,29,2,,Yellow Headed Blackbird,1
Middle Provo River,29,2,,Black Bear,1
Middle Provo River,29,2,,Finch,1
Middle Provo River,30,,,Mallard Duck,1
Middle Provo River,30,,,Beaver,1
Middle Provo River,30,,,Muskrat,1
Middle Provo River,30,,,Black Bear,1
Middle Provo River,32,old,,Sandhill Crane,1
Middle Provo River,32,old,,Otter,1
Middle Provo River,32,old,,Killdeer,1
Middle Provo River,32,old,,Unknown Bird,1
Middle Provo River,32,old,,Yellow Headed Blackbird,1
Middle Provo River,32,old,,Muskrat,1
Middle Provo River,32,old,,Black Bear,1
Middle Provo River,32,old,,Finch,1
Middle Provo River,32,old,,Great Blue Heron,1
Middle Provo River,32,New 1,,Sandhill Crane,1
Middle Provo River,32,New 1,,Osprey,1
Middle Provo River,32,New 1,,Yellow Headed Blackbird,2
Middle Provo River,32,New 1,,Black Bear,1
Middle Provo River,32,New 1,,Bat,1
Middle Provo River,32,New 1,,Osprey,1
Middle Provo River,32,New 2,,Sandhill Crane,1
Middle Provo River,32,New 2,,Common Merghansar,1
Strawberry River,1,8,,Yellow Headed Blackbird,1
Strawberry River,1,8,,Beaver,1
Strawberry River,1,8,,Sparrow,1
Strawberry River,1,8,,Trout,1
Strawberry River,1,9,,Unidentified bird,1
Strawberry River,1,9,,Magpie,1
Strawberry River,1,9,,Bee,1
Strawberry River,1,9,,Muskrat,1
Strawberry River,1,9,,Dragonfly,1
Strawberry River,2,8 or 9,,Yellow Headed Blackbird,1
Strawberry River,2,8 or 9,,Beaver,1
Strawberry River,2,8 or 9,,Hummingbird,3
Strawberry River,3,,,Yellow Headed Blackbird,1
Strawberry River,3,,,Magpie,1
Strawberry River,3,,,Canada Goose,1
Strawberry River,3,,,Sandhill Crane,1
Strawberry River,4,8,,Muskrat,1
Strawberry River,4,8,,Canada Goose,1
Strawberry River,4,8,,Canada Goose,1
Strawberry River,4,8,,Unidentified Dove,1
Strawberry River,4,8,,Finch,1
Strawberry River,4,8,,Red-Winged Blackbird,1
Strawberry River,4,8,,American Coot,1
Strawberry River,4,8,,Robin,1
Strawberry River,5,8,,Yellow Headed Blackbird,1
Strawberry River,5,8,,Canada Goose,1
Strawberry River,5,8,,Eagle,1
Strawberry River,5,8,,Spotted Sandpiper,1
Strawberry River,5,9,,Yellow Headed Blackbird,5
Strawberry River,5,9,,Canada Goose,1
Strawberry River,5,9,,Finch,1
Strawberry River,5,9,,Beaver,1
Weber River,1,1,,Killdeer,1
Weber River,1,2,,Killdeer,1
Weber River,2,1,,Yellow Headed Blackbird,1
Weber River,2,1,,Eagle,1
Weber River,2,1,,Magpie,1
Weber River,2,2,,Killdeer,1
Weber River,2,2,,Eagle,1
Weber River,2,2,,Great-Tailed Grackle,1
Weber River,2,2,,Finch,1
Weber River,2,2,,Bullock's Oriole,1
Weber River,3,1,,Killdeer,1
Weber River,3,1,,Eagle,1
Weber River,4,1,,Yellow Headed Blackbird,1
Weber River,4,1,,Cat,1
Weber River,6,2,,Killdeer,1
Weber River,6,2,,Eagle,1
Weber River,6,2,,Magpie,1
Weber River,7,1,,Yellow Headed Blackbird,1
Weber River,8,1,,Killdeer,1
Weber River,8,1,,Eagle,1
Weber River,8,1,,Magpie,1
Weber River,8,1,,Elk,1
